Date,High,Low,Open,Close,VOLUME,Adj Close
08.12.2016,76458.51,75116.85,76264.87,75929.32,798062200,75929.32
09.12.2016,76177.14,75584.76,76116.42,75727.28,499010600,75727.28
12.12.2016,76239.63,74908.89,75347.13,76239.63,582607600,76239.63
13.12.2016,77016.08,76268.7,76532.65,76995.27,651581900,76995.27
14.12.2016,77109.21,76458.55,76892.95,76880.85,482740500,76880.85
15.12.2016,77678.59,76255.84,76325.99,77678.59,816969900,77678.59
16.12.2016,77904.15,77425.46,77802.82,77589.65,625470200,77589.65
19.12.2016,77937.02,77157.79,77741.44,77157.79,529743600,77157.79
20.12.2016,77875.02,76883.74,77009.42,77807.89,513965000,77807.89
21.12.2016,78203.47,77558.5,77988.68,77619.47,484434700,77619.47
22.12.2016,77867.05,77251.01,77739.96,77404.74,549501200,77404.74
23.12.2016,77588.76,76902.64,77443.4,76972.15,434429600,76972.15
26.12.2016,77257.17,77028.47,77086,77028.47,191843100,77028.47
27.12.2016,77265.91,76592.74,77164.39,76699.41,355029200,76699.41
28.12.2016,77549.13,76514.26,76687.74,77547.71,435774000,77547.71
29.12.2016,77953.46,77457.89,77504.17,77835.85,405154800,77835.85
30.12.2016,78371.86,77765.42,77959.52,78138.66,370372200,78138.66
02.01.2017,77969.07,77570.08,77907.2,77754.46,316345600,77754.46
03.01.2017,77951.89,76618.2,77866.96,76618.2,713319000,76618.2
04.01.2017,77022.24,75836.56,76805.98,76143.59,597230800,76143.59
05.01.2017,76808.59,75656.75,76386.39,76386.3,808890000,76386.3
06.01.2017,77150.22,76145.05,76259.87,77106.57,512230700,77106.57
09.01.2017,77634.9,76636.38,76786.9,77394.44,520439800,77394.44
10.01.2017,77733.15,77141.69,77195.79,77393.69,771506100,77393.69
11.01.2017,77806.91,76650.33,77100.11,77666.58,822196600,77666.58
12.01.2017,81090.33,77899.73,77992.42,80891.04,1454508000,80891.04
13.01.2017,81642.15,80358.94,80783,81524.32,1144893000,81524.32
16.01.2017,82160.05,81345,81662.45,81711.69,835624600,81711.69
17.01.2017,82540.91,81657.11,82103.4,82362.77,975383900,82362.77
18.01.2017,82895.24,82119.44,82510.83,82779.25,1016518000,82779.25
19.01.2017,83317.74,82028.44,82964.1,82300.32,914255400,82300.32
20.01.2017,83261.99,81997.22,82350.96,83067.15,741001200,83067.15
23.01.2017,83575.55,82899.81,83429.51,83047.8,742625300,83047.8
24.01.2017,84262.23,82880.21,83195.9,84207.89,965620400,84207.89
25.01.2017,84278.03,82811.15,84129.38,83128.26,849098200,83128.26
26.01.2017,84025.3,82922.63,83418.81,83826.54,773824400,83826.54
27.01.2017,84209.34,83441.56,83578.96,83827.39,710397100,83827.39
30.01.2017,86279.77,83650.45,83670.05,86237.54,1117071000,86237.54
31.01.2017,86717.05,85925.1,86293.8,86295.72,1060632000,86295.72
01.02.2017,86920.13,86000.86,86390.04,86847.96,831297000,86847.96
02.02.2017,87675.1,86819.3,87166.87,87394.19,1114073000,87394.19
03.02.2017,88389.5,87047.45,87343.04,88389.5,956386100,88389.5
06.02.2017,89537.82,87339.56,89121.97,87357.86,1114080000,87357.86
07.02.2017,88075.33,86877.27,87154.8,87476.73,903159400,87476.73
08.02.2017,88386.49,87316.37,87598.98,88249.08,870109800,88249.08
09.02.2017,89005.1,87846.48,88383.01,88830.21,966195300,88830.21
10.02.2017,89370.08,87318.54,89119.9,87473.33,1058086000,87473.33
13.02.2017,88814.01,87528.57,87731.52,88578.31,753414000,88578.31
14.02.2017,88870.62,87504.69,88848.52,88082.21,1004709000,88082.21
15.02.2017,88539.94,87726.11,88294.26,87881.97,773420500,87881.97
16.02.2017,88463.91,87997.5,88246.07,88186.86,641684800,88186.86
17.02.2017,88998.41,88069.73,88134.81,88830.41,632407000,88830.41
20.02.2017,89583.28,88467.94,89458.72,88587.66,709979300,88587.66
